clientID,Gender,Education,Mariage,Age,creditAmount,paymentDelayed,defaultPayment
04166RPUE,F,primary,Single,89,8249060,Yes,0
45902JJBL,M,university,Single,7,8056010,No,0
52162NNSP,F,college,Single,67,9409164,No,1
17694RYZH,M,university,Married,5,4787253,No,0
63593DONQ,M,university,Single,24,4169448,Yes,1
41679AAQD,F,others,Single,11,1303156,No,0
87943OQAF,F,university,Single,39,1799551,No,1
27353ARIS,M,college,Single,75,4543,No,0
60133RXUQ,F,university,Single,95,523449,Yes,1
46853UKTV,M,college,Single,73,839332,No,0
27352RUXJ,M,college,Single,69,188105,Yes,0
92096VOKP,F,others,Single,22,4600839,No,1
87730KMGL,M,university,Single,82,160,Yes,0
92317UXLA,M,university,Married,40,5090989,No,1
45197NUDW,M,primary,Single,94,7466879,Yes,1
89617LSNA,M,primary,Married,6,6399182,No,0
96504BNRI,F,primary,Single,68,9531320,Yes,1
53831HILD,M,primary,Single,3,2675752,No,1
12065FJID,F,others,Married,6,1631294,Yes,0
72206ILDM,M,others,Single,38,898216,Yes,0
61041PPVS,F,primary,Single,49,6174851,Yes,1
63876NZTM,F,university,Married,24,3612280,No,1
18944RSMG,F,college,Married,45,3200849,No,1
28693SRUW,F,college,Married,68,7099542,Yes,0
40434ETPD,M,primary,Single,6,6254898,No,1
18736UNKK,M,university,Single,87,1276738,No,0
65933VPUL,F,university,Single,55,4697263,No,0
75260YOMP,F,primary,Married,94,7004271,No,1
45819BCVU,M,college,Single,65,375718,No,1
34608XXQA,M,primary,Single,67,4990718,Yes,0
11535FRIO,F,others,Single,22,587081,No,0
93949ICAZ,F,others,Single,65,2014550,No,1
41235BSVJ,F,university,Married,47,5067561,No,1
88273IJJO,M,college,Married,87,2379649,Yes,0
64139VEZR,F,primary,Single,89,4407806,Yes,0
10074LZCQ,F,primary,Single,5,7665974,Yes,1
44764ENOL,F,primary,Married,27,3433726,No,0
31658GNKO,M,others,Married,12,2018719,No,0
39571MRDT,M,primary,Married,58,509484,Yes,1
99740XCMT,F,primary,Married,23,7994425,No,0
90673BIUM,F,university,Single,28,2928989,No,0
54749UHAX,M,primary,Single,91,240654,Yes,0
77504EBZV,F,others,Single,40,1888893,Yes,0
62058HDHW,M,university,Married,9,1444439,Yes,1
01151LVGS,F,college,Single,91,3939338,Yes,1
47830DYEM,M,college,Single,26,7637737,No,1
97246FTIQ,F,others,Married,63,9727045,No,0
71133TTNJ,F,primary,Single,26,9352373,Yes,0
74180YLRZ,F,college,Single,73,4582438,Yes,1
60969LXWI,M,college,Married,81,4530970,No,1
20637TTPF,M,others,Married,78,378477,Yes,1
36156VACC,M,university,Married,1,9449443,Yes,0
42210CYRV,M,primary,Single,5,8048450,No,0
96718DRXO,M,college,Single,48,1061727,No,1
98624YQXH,M,others,Single,26,2571861,No,0
49731BUJI,M,others,Single,88,3615081,No,1
09244YPEM,M,college,Single,14,1093166,Yes,0
17269SCBO,F,others,Married,37,6669597,Yes,0
24816YRGS,M,primary,Single,0,6332142,No,1
95594LVUU,M,university,Married,30,501608,Yes,1
50984OYJR,M,others,Married,84,623461,Yes,0
46905YCLT,F,college,Single,42,8345381,Yes,0
61031SXQJ,M,others,Single,22,7255937,No,1
06711SPMB,F,college,Married,49,7813177,No,1
53584ZABU,F,university,Married,29,6919331,No,1
01864RWDP,F,others,Single,47,2936397,Yes,0
90164XBSD,M,primary,Married,51,222618,No,1
10374EPVC,M,others,Married,5,9676439,Yes,1
47284VZRI,F,others,Single,19,738764,No,1
95187TPID,F,college,Married,18,1057137,No,0
14654YBCW,M,primary,Single,76,4711427,No,0
67040ECQX,M,others,Single,31,4723938,Yes,0
48762QNKY,M,university,Single,79,8039159,No,1
60149QUJA,F,primary,Married,85,3400719,No,1
21503TOFU,F,others,Married,33,4484289,Yes,1
62176ZMER,F,university,Married,54,409581,No,0
06243UTBT,M,others,Single,87,4562773,Yes,1
91741XSPI,M,college,Single,73,3155288,No,1
16373CTWJ,M,others,Single,90,3939601,No,1
24481YLKD,F,primary,Married,80,7516011,No,1
76921RBDW,F,college,Married,39,32692,Yes,0
41386UQPE,M,college,Single,26,740263,No,1
98084ZPVH,M,university,Single,83,9449129,Yes,1
77235XPDO,F,primary,Married,94,7303869,No,1
09047ANMU,M,primary,Single,34,9377531,No,0
84250TYDH,M,university,Single,52,8196134,No,1
60437WTAL,M,university,Single,88,3884276,Yes,0
78473MQWB,F,others,Married,1,793471,Yes,1
83042YOUU,F,university,Single,53,4806960,No,0
08709RXCJ,M,primary,Single,52,6107491,No,1
63150SFZG,M,university,Married,48,1483375,No,0
14959FTFJ,F,others,Married,35,6162224,Yes,1
26203MNDS,F,others,Married,24,7654731,Yes,0
65267YVYB,F,university,Single,99,7926819,Yes,0
84082YCHS,M,primary,Single,62,9136717,Yes,1
48562ZODJ,M,others,Single,32,2749698,No,1
46208GYQK,F,college,Single,76,6262389,Yes,0
36356VLHD,M,others,Married,1,6228916,No,0
71249UBJL,M,college,Married,80,9244650,Yes,1
19729VSRD,M,college,Single,88,9072566,No,1
20312EOAI,F,university,Married,50,2444369,Yes,0
33513XKMD,F,primary,Single,5,5380642,Yes,1
43079ISMH,M,college,Married,89,5818133,No,0
99515XLRT,F,others,Single,98,6828355,No,0
91534VLCB,M,primary,Single,57,2918611,Yes,1
65292ANLR,F,college,Single,16,9734339,No,0
05136YXJD,M,university,Single,84,6740737,Yes,0
83323ZWCS,M,others,Married,88,6242969,No,0
49828ZLXD,M,others,Married,28,7843083,Yes,0
50248ZBYT,F,college,Married,9,5829028,No,0
04945STDE,M,university,Married,81,4906490,Yes,1
35088HOMA,M,college,Married,14,2476874,Yes,1
02984QXKM,M,others,Married,14,8296513,No,0
62129BTPO,M,others,Single,20,9097758,No,1
86461NOVE,M,primary,Married,62,6842182,Yes,0
03811HKXJ,F,primary,Married,8,6045315,Yes,0
25957ECTO,F,others,Single,23,7242915,Yes,1
88636RCPV,F,primary,Single,68,1450316,No,1
05343XCEF,F,others,Single,41,4247997,Yes,0
18685NOTC,F,university,Single,21,2309242,No,1
40894IJVX,F,primary,Married,94,5583526,Yes,1
57370VFWD,F,university,Single,32,6017463,No,0
21106UCUT,F,primary,Married,87,7827497,Yes,0
01750DGBR,F,university,Married,91,7562645,Yes,0
77929EJCV,F,university,Single,88,9046473,Yes,1
99315SGOC,M,others,Single,50,2756097,No,1
50212XNZC,F,primary,Single,36,717323,Yes,1
25735LYEJ,F,primary,Married,68,5762198,No,0
32219DCDT,F,others,Single,36,8495192,No,1
75031HPIZ,F,others,Single,36,2433544,No,0
45281BVMR,M,university,Married,72,5731934,Yes,0
19414RCDK,F,others,Single,33,9063238,No,1
51990ZIPZ,M,university,Married,13,2674758,Yes,1
18727PHUQ,M,others,Married,97,9624965,Yes,1
44644HTCG,F,others,Married,15,2340779,No,1
46100BRZJ,M,primary,Single,50,3452966,Yes,0
61600TTUF,M,college,Single,25,6649653,No,1
64238OYAL,F,primary,Married,11,1371427,No,1
93334AOWH,F,others,Single,71,7029252,Yes,1
74174CRRR,M,college,Married,63,1877035,Yes,0
54853MZQJ,M,college,Single,25,8411822,Yes,0
93008JTAX,F,college,Single,16,9126751,Yes,1
30333RGQP,F,college,Married,66,704282,Yes,1
90330ILWO,M,university,Single,4,8716919,Yes,0
92659JKOV,M,university,Married,60,1741732,Yes,0
16357IPJL,M,college,Married,61,9654694,No,1
48785HBZK,F,university,Married,13,67789,Yes,0
27080IBUM,M,college,Married,14,4273445,Yes,1
27638LOFK,F,college,Single,29,9234995,No,0
64710SWOF,F,others,Married,4,2763240,No,1
97495PTLO,M,others,Married,49,3804777,Yes,1
65311RHLI,F,university,Married,23,5618686,No,1
80248QGPK,F,college,Married,10,8207079,Yes,1
11284OLQA,F,university,Married,97,1961615,No,1
11286EWZM,F,university,Single,88,5460771,No,1
08068XKJR,F,others,Married,8,6263306,Yes,1
09711TYNV,F,primary,Single,30,9201476,No,0
99282DUIP,F,college,Single,55,6626338,Yes,1
37241EZLG,M,others,Married,78,8776515,No,1
54393LRZW,M,university,Married,47,6590086,Yes,0
93780ZPVR,F,university,Married,56,3675409,No,1
96725IYJV,M,others,Single,94,9680780,Yes,0
18839KZGC,F,primary,Married,18,5891057,No,1
82289QWTK,F,primary,Single,56,6845079,Yes,0
08894KVSW,F,college,Single,76,1785543,Yes,0
88653PVTL,F,university,Married,98,3788544,Yes,0
00667DKQI,M,university,Married,5,7611053,Yes,0
01598TWRU,M,primary,Single,84,2612233,Yes,1
34726VUFK,F,others,Married,64,3159673,No,1
18982YYQQ,M,college,Married,98,10002,Yes,1
99171KLGC,F,primary,Single,24,8464292,Yes,0
39174XLRD,M,primary,Married,98,1808599,No,1
71872MDWP,F,others,Single,26,8308127,No,0
92644DHGQ,M,university,Married,92,2421885,Yes,0
93640DISR,F,primary,Single,40,1211427,No,0
77720BIGX,F,college,Married,5,5143156,No,1
99957BGQH,F,university,Single,72,4057291,No,1
33955GNYW,M,college,Married,1,6813561,Yes,0
13511BDWV,F,primary,Single,19,5081108,No,1
79286TGIX,M,university,Single,43,3510533,Yes,1
39718RUBD,F,college,Single,32,9092696,Yes,0
20274ZYBJ,M,college,Married,22,1620465,Yes,0
74488DCWE,M,others,Married,44,3204559,No,1
15285PZNO,F,college,Single,59,394359,Yes,1
40768ARRK,M,college,Married,25,272127,Yes,0
59810VRLY,M,others,Married,82,521729,No,0
50969ITTY,F,college,Married,7,4962434,No,0
52063BBYJ,F,university,Married,50,2031311,No,1
31980WEUH,M,primary,Married,48,3474351,No,1
76144UIRD,F,university,Married,19,3115766,No,0
68548MOKT,F,primary,Married,37,1196823,Yes,1
86440IMFR,M,university,Single,64,1124441,Yes,0
14652LXMD,M,college,Single,8,4251916,Yes,1
19852BBBC,F,university,Single,28,7593358,No,0
40652GCNC,M,college,Single,23,1995700,Yes,0
61130WHPL,F,primary,Married,80,7078602,Yes,1
66298EETP,F,university,Married,24,5998095,No,1
81501EMRW,M,others,Married,42,6761232,Yes,0
96469JRRK,M,college,Single,84,177310,No,0
31010ZWFQ,F,college,Single,92,5036780,No,1
64671HMMA,M,others,Single,56,5757431,No,1
11794WPFO,M,university,Married,3,6505321,Yes,1
80067ZWTP,F,university,Single,56,6290046,No,1
52445PRVM,M,primary,Married,8,3497184,No,1
75430XKMM,F,university,Married,31,5096694,Yes,1
93602EIGF,M,university,Single,77,7189438,Yes,0
93686DHSY,M,primary,Single,67,9893370,Yes,1
86777VQHT,F,university,Single,36,8026883,Yes,1
61161KZHF,F,university,Married,71,9954530,Yes,1
00831VXAB,M,university,Single,20,702544,No,0
46122IJBW,F,others,Single,18,8243208,No,0
21656SYLL,F,primary,Single,70,528785,No,1
81167YVBC,F,college,Married,40,8388522,Yes,0
68912LNTC,M,primary,Single,7,5362533,Yes,0
63184KTGV,F,primary,Single,14,5897141,No,0
35037JRDT,F,university,Married,87,520771,Yes,1
42844LWUJ,F,others,Married,8,4291313,No,0
01089CIZE,M,others,Single,52,7945648,No,1
07669BQSR,F,others,Single,66,6438346,No,1
52465HTXA,F,college,Married,68,9043210,Yes,1
25974FOUQ,M,college,Single,2,1644282,Yes,1
68741HAIS,M,primary,Single,79,7091758,Yes,0
71920ONTE,F,university,Married,92,9850319,No,0
07527SZCB,M,others,Married,21,5889725,Yes,1
36306DHTL,F,others,Married,92,8226011,No,0
98958QNPJ,M,others,Married,41,458490,No,1
27767NGIP,F,others,Married,47,6374794,Yes,0
83078CBXM,F,college,Married,4,648802,No,1
43555KGML,M,college,Married,18,8178028,No,0
49498DDSD,F,college,Married,13,1456743,No,0
78124TYJY,F,primary,Single,87,7967027,Yes,0
64150DJZH,M,university,Married,29,4230483,No,1
47150XXFV,F,university,Married,0,9122359,Yes,0
41384OOXU,F,college,Married,48,1544324,No,0
47675LLLW,M,university,Single,0,1391917,No,1
37642KOYX,M,others,Single,72,4116953,No,0
76875USOD,F,others,Single,7,1577153,No,0
51650OEMX,F,others,Married,49,7628369,Yes,1
19107GSXL,F,college,Single,98,6372845,Yes,0
86408ALKW,F,primary,Married,72,5660343,No,1
32101DGCH,F,others,Married,15,4049662,No,1
41630BKIK,F,college,Married,28,7873204,Yes,0
33812TPMT,F,university,Married,97,576166,Yes,1
31044MKGX,F,primary,Single,80,5416902,Yes,0
29625UHKC,F,college,Married,4,5197810,Yes,1
62939UNLX,F,others,Married,72,9271522,No,1
40482ZAYM,M,college,Married,69,7569863,Yes,1
58336PNBT,M,others,Single,9,3633196,Yes,1
53311OHLP,F,university,Married,2,6888844,No,1
93632TLGZ,M,university,Single,83,1593060,No,0
34506QAMX,M,others,Single,60,172704,No,0
64877NUQC,F,college,Single,73,2153929,Yes,1
08663VVJE,M,university,Single,82,9956088,Yes,1
76049LFAH,F,primary,Single,49,473718,Yes,0
93063SGMJ,M,university,Married,36,8494213,Yes,0
29721VKWO,F,others,Married,87,7456298,Yes,1
45656OBDB,M,college,Single,78,1159300,Yes,0
25257ERZS,F,university,Married,49,8423381,No,0
52549QYBY,M,primary,Single,57,3040590,No,1
49264JTWF,F,college,Married,95,7770871,Yes,0
24401COAT,M,college,Married,30,4609392,No,0
94021IQCM,F,primary,Single,87,9479966,No,1
85632CGIB,F,college,Married,62,6512548,Yes,1
37976TQPC,M,college,Single,78,8986933,No,1
00380DXLH,M,primary,Married,32,817301,Yes,1
60652JCTG,M,college,Married,44,4248064,No,1
56037WQIY,F,primary,Married,81,9825763,No,0
74311PBUF,M,college,Married,58,1974151,Yes,0
56247LGUB,F,others,Single,61,8669397,No,0
34973XUDI,M,others,Married,19,8239275,No,1
33056BNVW,F,primary,Married,58,2917872,Yes,0
41297IRSZ,F,college,Single,68,7578704,Yes,1
53596KELU,F,college,Married,46,4922259,Yes,0
02022QGTY,M,primary,Married,28,2730428,Yes,0
37219JBAC,M,primary,Single,18,668010,Yes,1
21570AFEX,M,others,Single,36,4870202,Yes,1
73510VXAR,M,others,Single,81,5560232,No,1
37193GVRY,M,others,Single,93,7159369,Yes,1
99880DYUE,F,university,Married,22,1840034,No,0
33592BQEN,M,others,Married,49,2597050,No,1
73078WZXF,M,primary,Single,32,1288837,No,1
04605TQNM,M,primary,Single,20,3340731,Yes,0
43367MGKX,F,college,Single,47,8089071,No,0
50228KHXO,F,primary,Single,94,8157879,Yes,0
93510LJPM,M,university,Married,2,4178243,Yes,1
64448IJEG,F,university,Single,55,95505,Yes,0
63085QUYC,M,university,Single,38,6497878,No,0
00213HVRH,M,primary,Married,18,2963387,Yes,1
79977XAHV,M,others,Single,5,6320307,Yes,1
74456MNTD,M,primary,Single,58,736095,Yes,0
32745UTSL,M,primary,Married,52,5071361,Yes,0
73176FLOJ,M,others,Married,90,3064825,No,0
51908VIKR,M,primary,Married,69,3748411,Yes,0
47530UXDY,M,college,Married,29,5705435,Yes,1
36668ZFKN,M,primary,Married,51,9790677,Yes,0
11548CCOA,M,college,Married,16,8277058,Yes,1
64109HGRB,F,university,Married,80,3837495,No,0
05184ECNM,M,primary,Married,45,7460265,Yes,1
09812LSMP,F,college,Single,26,1947660,No,1
95562ADBK,F,college,Single,51,1703521,Yes,0
85984OTHW,M,university,Married,53,2758733,No,0
47726VEGX,M,college,Married,53,2335478,Yes,0
74915KYGW,F,primary,Married,58,2214576,Yes,0
26296SFMZ,F,others,Single,93,9441727,No,1
59017ILGN,F,others,Married,57,397255,Yes,1
40673TWKA,M,primary,Single,56,7350053,No,1
19374BOGY,M,primary,Single,49,8323943,Yes,0
18810CHNK,F,university,Single,59,6151797,No,0
07613FARF,F,university,Single,46,7213758,No,0
68867XKIB,M,college,Married,43,344564,Yes,1
07793GCKZ,F,primary,Single,41,8810979,No,1
31628UVEE,M,university,Single,85,6178853,No,0
41351FOYD,M,others,Single,51,9118160,No,0
23143KLBV,M,primary,Married,17,1783890,No,0
63023PZCN,M,college,Married,92,7023356,Yes,0
98195ZSRZ,M,university,Single,67,7946663,Yes,1
63683WMIP,M,others,Married,26,562656,No,0
53625ZGQX,M,university,Married,31,4679203,No,0
37760JHDF,F,primary,Married,27,7319751,No,1
09597IHQT,F,college,Married,91,9349634,Yes,1
59620WIGO,F,college,Married,24,7084268,Yes,0
96267PJIL,F,college,Married,72,1123043,No,1
08016DFCP,M,primary,Married,24,1093461,Yes,0
89207ISGE,F,college,Married,93,1463694,No,1
22462UCZK,F,others,Single,84,4408643,Yes,0
14577VUAJ,F,primary,Single,79,6000247,Yes,1
87951SGML,F,others,Married,46,7962895,Yes,0
36014EEAN,F,primary,Single,59,6733150,Yes,1
74999JMQP,M,primary,Single,70,8507954,Yes,1
40935FLGX,F,primary,Single,97,4080756,Yes,0
75466QYTG,F,university,Married,52,2307325,Yes,1
08666QGLR,F,primary,Single,47,2030226,Yes,0
26980UQXK,M,university,Single,82,404487,Yes,1
59514VGHZ,M,college,Married,39,2717831,Yes,0
63348SCQU,F,primary,Single,27,1449175,No,0
31793IZVA,F,university,Single,50,9570071,Yes,0
06567EJSF,M,primary,Single,18,3133829,Yes,0
19481BETG,F,university,Married,60,3297009,No,0
94668EHJH,M,college,Single,13,7484352,Yes,1
35461BTAP,F,others,Single,69,9159000,Yes,1
90506ZTYM,M,primary,Single,83,6263218,Yes,1
34389VYRJ,F,university,Married,57,9351092,Yes,1
03314SSXD,M,college,Single,38,4412520,Yes,0
68268JQRM,F,university,Single,99,8017492,No,1
41998AJBU,M,university,Single,79,1121035,Yes,0
34646CLYY,F,college,Single,52,3112345,No,0
98972FDNO,F,primary,Married,6,9766362,Yes,0
85173ROWE,F,others,Single,25,6933282,No,0
41622TRCL,M,college,Single,27,1943638,Yes,1
71997FGMX,M,university,Married,43,9389648,Yes,0
11570RWYT,F,college,Single,70,666992,Yes,0
66377JQOW,M,university,Single,20,3896480,No,0
82100TYTD,F,college,Married,84,3396502,No,1
38950BNWZ,F,others,Married,49,2472748,No,1
33675PFKN,M,university,Married,66,5038922,No,0
41984LPDR,M,university,Married,55,2234974,No,0
87539DZSM,M,college,Single,23,6555023,No,1
84739IVFT,F,university,Married,56,187798,Yes,1
87081MKZR,F,university,Married,3,6238752,Yes,1
89536ZTKN,F,college,Single,88,1006533,Yes,0
26183DTPU,M,college,Married,26,8559669,No,0
87411SHDF,F,others,Single,49,204102,No,1
77075RZDY,F,college,Single,72,1891675,Yes,1
48909EBZQ,F,primary,Single,85,8800709,Yes,1
59640GMRY,M,others,Single,22,4460853,No,0
63676UWQH,F,college,Married,34,9824283,No,0
63104RNAO,F,college,Married,95,8900637,No,1
52771MQLO,F,college,Single,87,148605,No,0
00971VAON,M,others,Married,72,5089271,Yes,1
84557UDTZ,F,university,Married,98,2299516,No,0
81515UDDF,M,primary,Married,19,5360811,Yes,1
15809NJOK,F,others,Married,82,4088208,No,0
90395URLP,F,university,Married,51,8059593,No,0
65935FCVG,F,university,Single,73,3582960,Yes,1
12896FJDQ,M,others,Married,25,3165308,Yes,0
02394CGLS,M,college,Married,19,7965144,Yes,0
50796FJRV,M,college,Single,52,8024131,No,1
64194APCD,M,university,Married,40,8031830,No,1
15063IHWF,M,college,Married,59,3592380,Yes,0
03931YESH,M,college,Single,31,1661734,No,1
84578OPXE,M,primary,Married,94,2892694,Yes,1
93379NPWM,F,university,Married,16,6507170,No,0
10511JTBS,F,college,Married,97,9278347,Yes,0
97267EZUN,F,university,Married,62,9083233,No,1
24988HWYK,M,others,Married,40,1189816,No,1
30079EBTO,M,college,Single,78,2451360,Yes,1
48945TMNZ,M,primary,Married,97,2129962,No,0
86469TSST,M,primary,Single,78,8554164,Yes,0
27988NPPZ,F,university,Married,67,2439452,No,0
68520VNYK,F,others,Single,94,1140751,Yes,1
33192OTDH,M,university,Single,80,8014282,No,0
22752HYQV,M,others,Single,4,8613165,No,0
04643QIJA,F,college,Single,86,1217860,No,0
81314CNDD,M,college,Single,12,9498546,Yes,0
41623HLEV,M,others,Single,8,2763757,No,1
14813LJWF,M,primary,Single,10,4145111,Yes,0
10379EFMR,F,college,Married,2,6937524,No,0
24577ITWN,F,primary,Single,1,6068697,No,0
98311AENT,M,college,Married,6,3780613,No,0
26397LHMT,M,primary,Married,42,4403490,No,1
21527WZGV,F,university,Single,11,6818118,Yes,1
17875EZPQ,M,others,Single,40,1001148,No,1
21099LQCB,F,others,Married,45,7245594,Yes,0
43623MNQH,F,college,Married,25,719892,No,1
22343BBBT,M,college,Married,95,5376890,Yes,1
24911YJHC,M,primary,Single,19,6620774,Yes,1
05837JUNJ,M,university,Married,27,464146,Yes,0
62381TDPX,F,college,Married,39,3231388,No,0
61790OISZ,F,college,Single,8,6269348,No,1
27015GWWX,F,university,Married,46,6556138,Yes,1
98479BKYN,F,others,Married,79,7546868,Yes,1
05610OUST,M,university,Single,40,3770194,Yes,0
36891TJUK,M,primary,Married,74,2136182,No,1
21126WULS,M,others,Single,57,8042424,No,0
53275EBGB,F,others,Single,60,8548785,No,1
18927QGVN,M,others,Married,43,6820473,Yes,1
03630SOSK,M,others,Married,90,2638807,No,0
63088FZEZ,M,others,Single,22,4049024,No,1
59771TJQW,M,university,Married,37,8745267,No,0
65822PVTE,M,college,Married,38,4825592,Yes,0
27390EEWE,M,college,Single,12,8340516,Yes,1
47601EKPB,M,college,Married,71,1259221,Yes,0
02991NSVP,M,others,Single,20,7260199,Yes,0
30876BGCD,F,others,Married,19,518652,No,0
60991TISF,F,college,Married,20,7001409,No,1
45413EBRQ,M,primary,Married,53,1112900,Yes,0
18125VDXA,F,university,Single,15,9423539,Yes,0
41628KWVC,M,primary,Married,68,1423424,No,1
11193QDYX,F,others,Single,79,2442156,Yes,1
86155RDRH,M,others,Single,52,670226,Yes,1
83196YVSB,M,college,Married,20,6199536,Yes,1
09163KSUM,F,others,Married,71,4653823,No,0
05920ZEKI,F,primary,Single,70,6597932,No,1
46473URGK,F,university,Married,80,4711604,No,0
45583PKPS,M,university,Single,60,7793136,Yes,0
77209AOYX,M,college,Married,89,5729128,No,1
03888HDWZ,F,university,Single,35,5091833,Yes,1
92801ZSJA,F,university,Single,88,8980692,Yes,0
93760VWAJ,F,university,Married,31,5487623,Yes,0
00581ETTS,M,college,Single,14,5169763,No,0
24376HEWA,M,primary,Married,84,7883814,No,1
75086WOVX,M,primary,Married,18,8580539,No,1
57419NZDF,F,college,Single,56,8183717,No,0
62175VVMI,M,university,Single,12,6477580,Yes,1
68186FCCP,M,college,Married,96,9891194,No,1
80250PTIO,F,others,Single,5,9398390,No,0
60295OUBI,M,others,Single,17,9629923,Yes,1
90323FTSZ,M,university,Married,48,2302964,No,1
70471UDPJ,F,others,Single,60,7874019,No,0
